stcode,st,gw_owc_lined_no,gw_owc_lined_area,gw_owc_unlined_no,gw_owc_unlined_area,gw_ugpipe_no,gw_ugpipe_area,gw_surfpipe_no,gw_surfpipe_area,gw_drip_no,gw_drip_area,gw_sprinkler_no,gw_sprinkler_area,gw_others_no,gw_others_area,gw_total_no,gw_total_area
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,ANDHRA PRADESH,230655,302195,1347735,1518979,459683,606293,95212,121395,17947,23933,5220,8502,43099,21520,2199551,2602818
2,ARUNACHAL PRADESH,3,38,3,0,0,0,10,64,0,0,0,0,19,0,35,102
3,ASSAM,304,2524,86251,170050,156,3024,356,1637,14,82,87,1559,17144,6634,104312,185511
4,BIHAR,12018,38986,197816,679764,7670,23879,409628,1490625,2555,6027,588,1419,20967,49868,651242,2290568
5,CHHATTISGARH,83169,399666,214648,305460,3521,10077,16247,46816,519,2013,5618,22044,8568,13566,332290,799642
6,GOA,694,1346,1160,1081,23,41,514,664,46,59,792,939,1194,831,4423,4961
7,GUJARAT,158474,283635,755795,2001858,114890,603175,66079,218914,1274,2636,5751,30041,16072,30453,1118335,3170712
8,HARYANA,361556,1748674,106290,530418,0,0,0,0,0,0,0,0,0,0,467846,2279092
9,HIMACHAL PRADESH,502,6772,3358,17015,388,13175,685,2328,9,17,39,122,100,254,5081,39682
10,JAMMU & KASHMIR,351,2867,2595,6277,55,116,39,80,79,65,3,12,35,199,3157,9616
11,JHARKHAND,8134,6553,127061,117301,478,324,4754,2493,128,57,70,37,1922,1002,142547,127767
12,KARNATAKA,166078,269258,151891,230982,435293,683123,97303,142621,53809,70696,27471,39970,45857,7350,977702,1444000
13,KERALA,13931,11322,65314,38313,12260,9488,63568,38783,1136,2390,2441,2933,11139,5247,169789,108476
14,MADHYA PRADESH,48538,123619,609388,1417363,176910,359914,711699,2061934,15250,18570,66466,240440,38098,15653,1666349,4237495
15,MAHARASHTRA,82631,156667,713882,1291418,814257,2011270,272931,485764,39831,82698,13361,31022,117132 144122,2054025,4202963
16,MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,MEGHALAYA,1,3,211,826,1,3,4,19,0,0,0,0,5,1,222,851
18,MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,NAGALAND,26,59,42,95,2,3,1,3,0,0,0,0,32,0,103,160
20,ODISHA,5427,6516,317020,159125,1266,7013,17344,19120,183,72,256,127,130947,2814,472443,194787
21,PUNJAB,119236,637768,1019715,5629602,23501,196099,741,4569,75,473,23,224,14981,53600,1178272,6522335
22,RAJASTHAN,92131,305303,423065,1166676,71311,269192,348138,1511572,5385,22910,249248,1606675,310168,17636,1499446,4899964
23,SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,TAMIL NADU,607389,699750,960380,1096542,96774,137655,67514,79822,11798,20647,784,1155,121663,26989,1866302,2062560
25,TRIPURA,63,397,1445,3758,243,4706,190,609,0,0,0,0,150,211,2091,9681
26,UTTAR PRADESH,74686,1286220,3408309 13816354,44716,567358,635487,2178618,1821,5955,3184,37316,85052 146447,4253255,18038269
27,UTTARAKHAND,1880,35334,50316,268839,751,27742,487,6899,3,99,0,0,61,88,53498,339000
28,WEST BENGAL,7240,29558,445375,1405344,6141,187454,46250,144094,90,260,808,12787,13535,6078,519439,1785575
29,ANDAMAN & NICOBARS,42,23,109,77,1,1,190,138,0,0,0,0,1030,649,1372,887
30,CHANDIGARH,1,3,64,261,26,1663,0,0,0,0,0,0,0,0,91,1928
31,DADRA & NAGAR HAVELI,105,232,274,308,38,218,227,878,0,0,0,0,1,0,645,1636
32,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,DELHI,623,5217,7261,41516,1039,2450,742,3572,5,5,79,151,75,1,9824,52912
34,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,PUDUCHERRY,2009,6064,1323,3750,397,1250,400,1088,3,36,0,0,1,0,4133,12188
